Aug 31 2025,19.5,17.4,17,14.5
Aug 30 2025,21.9,18.1,18.6,15.4
Aug 29 2025,23.7,18.2,18.5,13.4
Aug 28 2025,21.4,17.7,17.8,14.1
Aug 27 2025,23.0,18.5,18.6,14.3
Aug 26 2025,26.3,21.2,21.3,16.3
Aug 25 2025,23.9,20.2,21,18
Aug 24 2025,26.4,20.4,20.8,15.1
Aug 23 2025,26.8,19.3,21.2,15.5
Aug 22 2025,20.2,18.1,17.5,14.8
Aug 21 2025,21.3,17.4,16.8,12.2
Aug 20 2025,20.3,16.8,16.1,11.9
Aug 19 2025,18.7,17,16.1,13.6
Aug 18 2025,18.8,17.3,17.1,15.5
Aug 17 2025,29.7,21.7,22.7,15.6
Aug 16 2025,22.2,19.4,19.4,16.5
Aug 15 2025,22.6,20.3,20.1,17.6
Aug 14 2025,28.2,23.7,24,19.8
Aug 13 2025,29.0,22.5,23.7,18.3
Aug 12 2025,32.1,24.6,25.2,18.3
Aug 11 2025,27.5,23.4,23.2,18.9
Aug 10 2025,29.6,22,22.5,15.4
Aug 9 2025,29.0,21.4,22.9,16.8
Aug 8 2025,22.9,19.5,19,15.1
Aug 7 2025,23.0,18.8,17.8,12.6
Aug 6 2025,22.2,19.5,18.5,14.8
Aug 5 2025,22.7,19.9,20,17.4
Aug 4 2025,25.2,20.4,21.1,17
Aug 3 2025,28.8,21,21.8,14.8
Aug 2 2025,22.5,19.2,18.9,15.3
Aug 1 2025,21.3,18.5,18.7,16.1
